Timestamp/DeltaT,Message,Signal,Value
14:18:46.456,VehicleStatus,VehicleSpeed,211.16
14:18:46.456,VehicleStatus,SteeringAngle,-4969.6
14:18:46.456,VehicleAccel,LateralAccel,9.898
14:18:46.456,LaneInfo,LaneC0,1.0
14:18:46.456,LaneInfo,LaneC1,0.0
14:18:46.456,LaneInfo,LaneC2,1.0
14:18:46.456,LaneInfo,LaneC3,0.0
14:18:46.456,RadarObj1,RelPosX1,-683.0
14:18:46.456,RadarObj1,RelPosY1,5167.200000000001
14:18:46.456,RadarObj1,RelVelX1,-97.2
14:18:46.456,RadarObj1,RelAccX1,-38.2
14:18:46.456,RadarObj2,RelPosX2,5520.200000000001
14:18:46.456,RadarObj2,RelPosY2,4722.1
14:18:46.456,RadarObj2,RelVelX2,6364.3
14:18:46.456,RadarObj2,RelAccX2,-2.5999999999999943
14:18:46.456,RadarObj3,RelPosX3,-760.0
14:18:46.456,RadarObj3,RelPosY3,5486.900000000001
14:18:46.456,RadarObj3,RelVelX3,-44.0
14:18:46.456,RadarObj3,RelAccX3,-28.9
14:18:46.456,RadarObj4,RelPosX4,5203.400000000001
14:18:46.456,RadarObj4,RelPosY4,5083.6
14:18:46.456,RadarObj4,RelVelX4,-95.0
14:18:46.456,RadarObj4,RelAccX4,6481.6
14:18:46.456,RadarObj5,RelPosX5,-443.79999999999995
14:18:46.456,RadarObj5,RelPosY5,4929.400000000001
14:18:46.456,RadarObj5,RelVelX5,6442.200000000001
14:18:46.456,RadarObj5,RelAccX5,-1.5
14:18:46.456,RadarObj6,RelPosX6,-415.9
14:18:46.456,RadarObj6,RelPosY6,4943.700000000001
14:18:46.456,RadarObj6,RelVelX6,-89.3
14:18:46.456,RadarObj6,RelAccX6,-35.9
14:18:46.457,RadarObj7,RelPosX7,4881.0
14:18:46.457,RadarObj7,RelPosY7,4791.8
14:18:46.457,RadarObj7,RelVelX7,6400.8
14:18:46.457,RadarObj7,RelAccX7,6470.200000000001
14:18:46.457,RadarObj8,RelPosX8,-945.8
14:18:46.457,RadarObj8,RelPosY8,-191.19999999999993
14:18:46.457,RadarObj8,RelVelX8,-95.6
14:18:46.457,RadarObj8,RelAccX8,6457.8
14:18:46.457,RadarObj9,RelPosX9,-834.4
14:18:46.457,RadarObj9,RelPosY9,-856.9
14:18:46.457,RadarObj9,RelVelX9,6404.3
14:18:46.457,RadarObj9,RelAccX9,-29.4
14:18:46.457,RadarObj10,RelPosX10,5193.8
14:18:46.457,RadarObj10,RelPosY10,4917.400000000001
14:18:46.457,RadarObj10,RelVelX10,6439.200000000001
14:18:46.457,RadarObj10,RelAccX10,-35.1
14:18:46.562,VehicleStatus,VehicleSpeed,181.29
14:18:46.562,VehicleStatus,SteeringAngle,-4523.299999999999
14:18:46.562,VehicleAccel,LateralAccel,9.376
14:18:46.562,LaneInfo,LaneC0,0.0
14:18:46.562,LaneInfo,LaneC1,0.0
14:18:46.562,LaneInfo,LaneC2,1.0
14:18:46.562,LaneInfo,LaneC3,1.0
